name,index,0,1,precision,recall,f1-score,accuracy,support,precision_avg,recall_avg,f1-score_avg,note
LogisticRegression: Train,0,0.0,12649.0,1.0,0.0,0.0,0.6681968417186926,12649.0,0.8340984208593463,0.5,0.4005503577325262,max_iter=1000
LogisticRegression: Train,1,0.0,25473.0,0.6681968417186926,1.0,0.8011007154650523,0.6681968417186926,25473.0,0.8340984208593463,0.5,0.4005503577325262,
LogisticRegression: Test,0,0.0,5419.0,1.0,0.0,0.0,0.6683192557228547,5419.0,0.8341596278614274,0.5,0.4005943427376453,max_iter=1000
LogisticRegression: Test,1,0.0,10919.0,0.6683192557228547,1.0,0.8011886854752907,0.6683192557228547,10919.0,0.8341596278614274,0.5,0.4005943427376453,
LogisticRegression: Train,0,0.0,12649.0,1.0,0.0,0.0,0.6681968417186926,12649.0,0.8340984208593463,0.5,0.4005503577325262,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Train,1,0.0,25473.0,0.6681968417186926,1.0,0.8011007154650523,0.6681968417186926,25473.0,0.8340984208593463,0.5,0.4005503577325262,
LogisticRegression: Test,0,0.0,5419.0,1.0,0.0,0.0,0.6683192557228547,5419.0,0.8341596278614274,0.5,0.4005943427376453,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Test,1,0.0,10919.0,0.6683192557228547,1.0,0.8011886854752907,0.6683192557228547,10919.0,0.8341596278614274,0.5,0.4005943427376453,
GradientBoostingClassifier: Train,0,7792.0,4857.0,0.7896230239156871,0.6160170764487312,0.6920993027490342,0.8181365091023556,12649.0,0.8088590804437217,0.7672595098413718,0.7815290192900903,n_estimators=100
GradientBoostingClassifier: Train,1,2076.0,23397.0,0.8280951369717562,0.9185019432340125,0.8709587358311464,0.8181365091023556,25473.0,0.8088590804437217,0.7672595098413718,0.7815290192900903,
GradientBoostingClassifier: Test,0,3369.0,2050.0,0.786781877627277,0.6217014209263702,0.6945675703535719,0.8186436528338842,5419.0,0.8083710317134394,0.7690428526007435,0.7828006513356542,n_estimators=100
GradientBoostingClassifier: Test,1,913.0,10006.0,0.8299601857996018,0.9163842842751168,0.8710337323177367,0.8186436528338842,10919.0,0.8083710317134394,0.7690428526007435,0.7828006513356542,
GradientBoostingClassifier: Train,0,7610.0,5039.0,0.7841318907779495,0.601628587240098,0.680862485461215,0.8128639630659462,12649.0,0.80340422881087,0.7596923213356694,0.7742408549035524,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Train,1,2095.0,23378.0,0.8226765668437906,0.917756055431241,0.8676192243458898,0.8128639630659462,25473.0,0.80340422881087,0.7596923213356694,0.7742408549035524,
GradientBoostingClassifier: Test,0,3295.0,2124.0,0.780251006393559,0.6080457649012733,0.6834681601327525,0.8131962296486718,5419.0,0.8024655774848521,0.7615281485006412,0.7754841886015851,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Test,1,928.0,9991.0,0.8246801485761452,0.9150105321000092,0.8675002170704176,0.8131962296486718,10919.0,0.8024655774848521,0.7615281485006412,0.7754841886015851,
AdaBoostClassifier: Train,0,7323.0,5326.0,0.7831247994866859,0.5789390465649459,0.6657272727272727,0.8070930171554483,12649.0,0.7990039207193257,0.749662668966138,0.7650773374181309,
AdaBoostClassifier: Train,1,2028.0,23445.0,0.8148830419519655,0.9203862913673301,0.864427402108989,0.8070930171554483,25473.0,0.7990039207193257,0.749662668966138,0.7650773374181309,
AdaBoostClassifier: Test,0,3118.0,2301.0,0.7748508946322068,0.5753829119763794,0.6603833527480674,0.803709144326111,5419.0,0.7939952053151289,0.7462041402999399,0.7611734695131032,
AdaBoostClassifier: Test,1,906.0,10013.0,0.813139515998051,0.9170253686235004,0.8619635862781388,0.803709144326111,10919.0,0.7939952053151289,0.7462041402999399,0.7611734695131032,
RandomForestClassifier: Train,0,9116.0,3533.0,0.8577342867896124,0.7206893825598861,0.783262447909954,0.8676617176433555,12649.0,0.8646167614933005,0.8306662081801903,0.8440072316578864,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Train,1,1512.0,23961.0,0.8714992361969884,0.9406430338004946,0.9047520154058186,0.8676617176433555,25473.0,0.8646167614933005,0.8306662081801903,0.8440072316578864,
RandomForestClassifier: Test,0,3767.0,1652.0,0.819804134929271,0.6951467060343237,0.7523467145995607,0.8482066348390256,5419.0,0.8395622905762765,0.8096577929841918,0.8214562096517352,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Test,1,828.0,10091.0,0.859320446223282,0.9241688799340599,0.8905657047039096,0.8482066348390256,10919.0,0.8395622905762765,0.8096577929841918,0.8214562096517352,
KNeighborsClassifier: Train,0,3754.0,8895.0,0.6012171684817424,0.29678235433631117,0.39739586090086276,0.701353549131735,12649.0,0.6610923034202425,0.5995158974602295,0.5994407248219331,
KNeighborsClassifier: Train,1,2490.0,22983.0,0.7209674383587427,0.9022494405841479,0.8014855887430036,0.701353549131735,25473.0,0.6610923034202425,0.5995158974602295,0.5994407248219331,
KNeighborsClassifier: Test,0,1519.0,3900.0,0.5592783505154639,0.28031002029894814,0.37344806392132757,0.688027910392949,5419.0,0.6364883897636782,0.5853422983626804,0.5828774079437125,
KNeighborsClassifier: Test,1,1197.0,9722.0,0.7136984290118925,0.8903745764264127,0.7923067519660975,0.688027910392949,10919.0,0.6364883897636782,0.5853422983626804,0.5828774079437125,
