name,index,0,1,precision,recall,f1-score,accuracy,support,precision_avg,recall_avg,f1-score_avg,note
LogisticRegression: Train,0,0.0,11746.0,1.0,0.0,0.0,0.6860785204586151,11746.0,0.8430392602293075,0.5,0.40690781131118436,max_iter=1000
LogisticRegression: Train,1,0.0,25671.0,0.6860785204586151,1.0,0.8138156226223687,0.6860785204586151,25671.0,0.8430392602293075,0.5,0.40690781131118436,
LogisticRegression: Test,0,0.0,6322.0,1.0,0.0,0.0,0.6290559173854369,6322.0,0.8145279586927184,0.5,0.38614752917447054,max_iter=1000
LogisticRegression: Test,1,0.0,10721.0,0.6290559173854369,1.0,0.7722950583489411,0.6290559173854369,10721.0,0.8145279586927184,0.5,0.38614752917447054,
LogisticRegression: Train,0,0.0,11746.0,1.0,0.0,0.0,0.6860785204586151,11746.0,0.8430392602293075,0.5,0.40690781131118436,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Train,1,0.0,25671.0,0.6860785204586151,1.0,0.8138156226223687,0.6860785204586151,25671.0,0.8430392602293075,0.5,0.40690781131118436,
LogisticRegression: Test,0,0.0,6322.0,1.0,0.0,0.0,0.6290559173854369,6322.0,0.8145279586927184,0.5,0.38614752917447054,"max_iter=1000, C=100, fit_intercept=False, warm_start=True"
LogisticRegression: Test,1,0.0,10721.0,0.6290559173854369,1.0,0.7722950583489411,0.6290559173854369,10721.0,0.8145279586927184,0.5,0.38614752917447054,
GradientBoostingClassifier: Train,0,7421.0,4325.0,0.7883777754169765,0.6317895453771497,0.7014509192305876,0.8311729962316594,11746.0,0.8169677764386696,0.7770961283038607,0.7918805597550236,n_estimators=100
GradientBoostingClassifier: Train,1,1992.0,23679.0,0.8455577774603628,0.9224027112305715,0.8823102002794597,0.8311729962316594,25671.0,0.8169677764386696,0.7770961283038607,0.7918805597550236,
GradientBoostingClassifier: Test,0,3566.0,2756.0,0.7480595762534088,0.5640620056944005,0.6431598881774732,0.7678225664495687,6322.0,0.7617782403912857,0.726019436761947,0.7355469832677599,n_estimators=100
GradientBoostingClassifier: Test,1,1201.0,9520.0,0.7754969045291626,0.8879768678294935,0.8279340783580468,0.7678225664495687,10721.0,0.7617782403912857,0.726019436761947,0.7355469832677599,
GradientBoostingClassifier: Train,0,7350.0,4396.0,0.7839163822525598,0.6257449344457687,0.6959568222706183,0.8283667851511345,11746.0,0.8135729694865381,0.773411596980198,0.7881966119098102,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Train,1,2026.0,23645.0,0.8432295567205164,0.9210782595146274,0.880436401549002,0.8283667851511345,25671.0,0.8135729694865381,0.773411596980198,0.7881966119098102,
GradientBoostingClassifier: Test,0,3505.0,2817.0,0.7565292467083963,0.554413160392281,0.639890460976723,0.768526667840169,6322.0,0.7647674436604028,0.7245995472701074,0.734670058641057,"ccp_alpha=0.0001, n_estimators=200, random_state=1234"
GradientBoostingClassifier: Test,1,1128.0,9593.0,0.7730056406124094,0.894785934147934,0.829449656305391,0.768526667840169,10721.0,0.7647674436604028,0.7245995472701074,0.734670058641057,
AdaBoostClassifier: Train,0,6644.0,5102.0,0.7612282309807517,0.5656393665928827,0.6490182670704309,0.807948258812839,11746.0,0.7916950175782841,0.7422291336489792,0.7584127391275628,
AdaBoostClassifier: Train,1,2084.0,23587.0,0.8221618041758165,0.9188189007050758,0.8678072111846946,0.807948258812839,25671.0,0.7916950175782841,0.7422291336489792,0.7584127391275628,
AdaBoostClassifier: Test,0,3055.0,3267.0,0.7509832841691249,0.48323315406516926,0.588065447545717,0.7488705040192455,6322.0,0.7495956883273369,0.6943728497683369,0.7037221228275512,
AdaBoostClassifier: Test,1,1013.0,9708.0,0.7482080924855491,0.9055125454715045,0.8193787981093855,0.7488705040192455,10721.0,0.7495956883273369,0.6943728497683369,0.7037221228275512,
RandomForestClassifier: Train,0,8644.0,3102.0,0.8589883732485343,0.7359100970543163,0.7927002613599891,0.8791725686185424,11746.0,0.8727931556964321,0.8403168575723843,0.8537192961679718,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Train,1,1419.0,24252.0,0.8865979381443299,0.9447236180904522,0.9147383309759547,0.8791725686185424,25671.0,0.8727931556964321,0.8403168575723843,0.8537192961679718,
RandomForestClassifier: Test,0,3699.0,2623.0,0.7753091595053447,0.5850996520088579,0.6669070585053637,0.7831954468110075,6322.0,0.7807852837943934,0.7425544897484827,0.7531029877835391,"n_estimators=200, criterion='entropy', max_depth=None, min_samples_split=20, ccp_alpha=0.0003, random_state=1234"
RandomForestClassifier: Test,1,1072.0,9649.0,0.786261408083442,0.9000093274881075,0.8392989170617146,0.7831954468110075,10721.0,0.7807852837943934,0.7425544897484827,0.7531029877835391,
KNeighborsClassifier: Train,0,3176.0,8570.0,0.6038022813688213,0.2703899199727567,0.3735152299188522,0.7152631156960739,11746.0,0.6686486606645083,0.5946044103389162,0.5946396098407984,
KNeighborsClassifier: Train,1,2084.0,23587.0,0.7334950399601953,0.9188189007050758,0.8157639897627448,0.7152631156960739,25671.0,0.6686486606645083,0.5946044103389162,0.5946396098407984,
KNeighborsClassifier: Test,0,1499.0,4823.0,0.5355484101464809,0.2371085099652009,0.32869202938274317,0.6407322654462243,6322.0,0.5984748509592275,0.5579255822841581,0.5417143303332702,
KNeighborsClassifier: Test,1,1300.0,9421.0,0.6614012917719742,0.8787426546031154,0.7547366312837973,0.6407322654462243,10721.0,0.5984748509592275,0.5579255822841581,0.5417143303332702,
